INCIDENT_KEY,_addr,_desc,INC_DATE
AZ_08293_01102022_22960_0,6111 S WILLOW DR Tempe AZ 85283,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined",2022-01-10
AZ_08293_01102022_22938_0,4502 S HARDY DR Tempe AZ 85282,"Number of Residential Units: 12.0
Number of Buildings Involved: 1.0
Acres Burned: 0.0
Area of Origin: Exterior balcony, unenclosed porch
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 940.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Combination smoke - heat
Detector Power: Unknown
Detector Operation: Fire too small to operate
AES Presence: None Present",2022-01-10
AZ_08293_01102022_22904_0,1332 E HALL ST Tempe AZ 85281,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Multiple areas
Heat Source: Cigarette lighter
Item First Ignited: Multiple items first ignited
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Undetermined
Equipment Involved: Undetermined
Fire Spread: Confined to floor of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1806.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Multiple items first ignited
Type Material Contributing Most To Spread: Multiple types of material
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Undetermined
AES Presence: None Present",2022-01-10
AZ_08293_01202022_221897_0,1033 S GEORGE DR Tempe AZ 85281,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Multiple areas
Heat Source: Cigarette lighter
Item First Ignited: Structural component or finish, other
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 944.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Multiple items first ignited
Type Material Contributing Most To Spread: Gasoline
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Unknown
Detector Operation: Fire too small to operate
AES Presence: None Present",2022-01-20
AZ_08293_01202022_221955_0,1400 W 3RD ST Tempe AZ 85281,"Less Than One Acre: Y
Area of Origin: Highway, parking lot, street: on or near
Heat Source: Cigarette lighter
Item First Ignited: Rubbish, trash, or waste
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Human Factors #2: Possibly impaired by alcohol or drugs",2022-01-20
AZ_08052_01302022_222694_0,111 W 6TH ST Tempe AZ 85281,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation",2022-01-30
AZ_08293_01302022_222924_0,111 W 6TH ST Tempe AZ 85281,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation
Human Factors #1: Asleep
Equipment Involved: Undetermined
Suppression Factors #1: Doors left open or outside door unsecured
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 22.0
Building Height: Stories Below Grade: 4.0
Total Square Feet: 565426.0
Fire Origin (starting story): 9.0
Item Contributing Most to Spread: Cabinetry (including built-in)
Type Material Contributing Most To Spread: Fiberboard, particleboard, and hardboard
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 2.0",2022-01-30
AZ_08293_01302022_222921_0,3730 S MILL AVE Tempe AZ 85282,"Not Residential Flag: Y
Area of Origin: Highway, parking lot, street: on or near
Heat Source: Cigarette lighter
Item First Ignited: Rubbish, trash, or waste
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Undetermined",2022-01-30
AZ_08293_02012022_223065_0,1117 W FAIRMONT DR Tempe AZ 85282,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
On Site Materials #1: Fabrics, other
Material Storage Use #1: Bulk storage or warehousing
Area of Origin: Storage room, area, tank, or bin
Heat Source: Undetermined
Item First Ignited: Item First Ignited, Other
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 33752.0
Fire Origin (starting story): 1.0
Detector Presence: None Present
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2022-02-01
AZ_08293_02032022_223229_0,711 E LEMON ST Tempe AZ 85281,"Area of Origin: Common room, den, family room, living room, lounge
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 4.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 20000.0
Fire Origin (starting story): 4.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire Only
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present",2022-02-03
AZ_08293_02052022_223441_0,2129 E KIRKLAND LN Tempe AZ 85281,"Not Residential Flag: Y
Less Than One Acre: Y
Area of Origin: Chute/container - trash, rubbish, waste
Heat Source: Undetermined
Item First Ignited: Rubbish, trash, or waste
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Multiple types of material
Cause of Ignition: Cause undetermined after investigation",2022-02-05
AZ_08293_02092022_223779_0,999 E BASELINE RD Tempe AZ 85283,"Number of Residential Units: 135.0
Number of Buildings Involved: 1.0
Area of Origin: Storage: supplies or tools; dead storage
Heat Source: Heat from powered equipment, other
Item First Ignited: Electrical wire, cable insulation
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Plastic
Cause of Ignition: Failure of equipment or heat source
Factors Contributing To Ignition #1: Electrical failure, malfunction, other
Equipment Involved: Washer/dryer combination (within one frame)
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 5.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 152600.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Fire too small to operate
AES Presence: None Present",2022-02-09
AZ_08293_02102022_223890_0,1665 W ALAMEDA DR Tempe AZ 85282,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
On Site Materials #1: On-site materials, other
Area of Origin: Computer room, control room or center
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 234562.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Undetermined
Type Material Contributing Most To Spread: Undetermined
Detector Presence: Detectors Present
Detector Type: Sprinkler, water flow detection
Detector Power: Hardwire with battery
Detector Operation: Fire too small to operate
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Fire too small to Operate",2022-02-10
AZ_08293_02102022_223852_0,1380 W ELLIOT RD Tempe AZ 85283,"On Site Materials #1: Food, other
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2022-02-10
