INCIDENT_KEY,_addr,_desc,INC_DATE
AZ_08052_01102021_21808_0,1530 W BASELINE RD Tempe AZ 85282,"Area of Origin: Other
Heat Source: Heat source: other
Item First Ignited: Item First Ignited, Other
Type of Material: Type of material first ignited, other
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Other factor contributed to ignition
Human Factors #3: Unattended or unsupervised person",2021-01-10
AZ_08293_01102021_21826_0,1530 W BASELINE RD Tempe AZ 85282,"Not Residential Flag: Y
Number of Buildings Involved: 1.0
Area of Origin: Multiple areas
Heat Source: Cigarette lighter
Item First Ignited: Multiple items first ignited
Type of Material: Multiple types of material
Cause of Ignition: Intentional
Human Factors #2: Possibly impaired by alcohol or drugs
Human Factors #6: Multiple persons involved
Suppression Factors #1: Doors left open or outside door unsecured
Suppression Factors #2: Alarm System inappropriately shut off
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: Vacant and unsecured
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 14341.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Structural member or framing
Type Material Contributing Most To Spread: Sawn wood, including all finished lumber
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Unknown
Detector Operation: Failed to Operate
Detector Failure Reason: Hardwired power failure, shut-off or disconnect
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and NOT Effective
Number of Sprinklers Operating: 1.0
AES Failure Reason: Fire not in area protected by the system",2021-01-10
AZ_08293_01302021_212354_0,1215 E VISTA DEL CERRO DR Tempe AZ 85281,"Number of Residential Units: 2.0
Area of Origin: Cooking area, kitchen
Heat Source: Heat from powered equipment, other
Item First Ignited: Appliance housing or casing
Type of Material: Type of material first ignited, other
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Heat source too close to combustibles.
Human Factors #3: Unattended or unsupervised person
Equipment Involved: Range, stove with/without oven, cooking surface
Fire Spread: Confined to building of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1000.0
Fire Origin (starting story): 1.0
Detector Presence: Undetermined
AES Presence: None Present",2021-01-30
AZ_08052_01302021_212379_0,1215 E VISTA DEL CERRO DR Tempe AZ 85281,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2021-01-30
AZ_08052_01312021_212473_0,1705 E LA VIEVE LN Tempe AZ 85284,"Area of Origin: Cooking area, kitchen
Heat Source: Heat from powered equipment, other
Item First Ignited: Appliance housing or casing
Type of Material: Fat, grease, butter, margarine, lard
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Mechanical failure, malfunction, other",2021-01-31
AZ_08293_02022021_212623_0,7250 S KYRENE RD Tempe AZ 85283,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Common room, den, family room, living room, lounge
Heat Source: Heat from powered equipment, other
Item First Ignited: Curtains, blinds, drapery, tapestry
Type of Material: Plastic
Cause of Ignition: Failure of equipment or heat source
Equipment Involved: Television
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 3.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 8000.0
Fire Origin (starting story): 3.0
Item Contributing Most to Spread: Curtains, blinds, drapery, tapestry
Type Material Contributing Most To Spread: Fabric, fiber, cotton, blends, rayon, wool
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Operated
Detector Effectiveness: No occupants
AES Presence: None Present",2021-02-02
AZ_08293_02032021_212734_0,442 W SANTA CRUZ DR Tempe AZ 85282,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Cooking materials, including edible materials
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Fat, grease, butter, margarine, lard
Cause of Ignition: Unintentional
Human Factors #1: Asleep
Suppression Factors #1: Locked or jammed doors
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1500.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2021-02-03
AZ_08293_02042021_212797_0,758 E SUNBURST LN Tempe AZ 85284,"Number of Residential Units: 2.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: Undetermined
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 3000.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire with battery
Detector Operation: Fire too small to operate
AES Presence: Present",2021-02-04
AZ_08293_02052021_212812_0,20 E 6TH ST Tempe AZ 85281,"Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 4000.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Other
Detector Operation: Operated
Detector Effectiveness: No occupants
AES Presence: None Present",2021-02-05
AZ_08052_02052021_212883_0,1101 E WARNER RD Tempe AZ 85284,"Area of Origin: Vehicle storage area; garage, carport
Heat Source: Arcing
Item First Ignited: Interior wall covering excluding drapes, etc.
Type of Material: Fiberboard, particleboard, and hardboard
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Electrical failure, malfunction, other",2021-02-05
AZ_08293_02062021_212954_0,5701 S RURAL RD Tempe AZ 85283,"Number of Residential Units: 1.0
Less Than One Acre: Y
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Misuse of material or product, other
Human Factors #3: Unattended or unsupervised person
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 3.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 100000.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire Only
Detector Operation: Fire too small to operate
AES Presence: Present",2021-02-06
AZ_08293_02072021_213073_0,513 W BROADWAY RD Tempe AZ 85282,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Area of Origin: Storage area, other
Heat Source: Undetermined
Item First Ignited: Undetermined
Type of Material: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 4.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 90000.0
Fire Origin (starting story): 2.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Hardwire Only
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2021-02-07
