_addr,_desc,INC_DATE,lat,lng
9631 S LA ROSA DR Tempe AZ 85284,"Number of Residential Units: 1.0
Area of Origin: Cooking area, kitchen
Heat Source: Heat from powered equipment, other
Item First Ignited: Cooking materials, including edible materials
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Other factor contributed to ignition",2023-01-10,33.3245334,-111.9308314
6230 S TAYLOR DR Tempe AZ 85283,"Number of Residential Units: 1.0
Area of Origin: Undetermined
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined",2023-01-10,33.3644015,-111.9089034
1512 N SCOTTSDALE RD Tempe AZ 85281,"Area of Origin: Engine area, running gear, wheel area
Heat Source: Undetermined
Item First Ignited: Undetermined
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined",2023-01-20,33.4461989,-111.9269811
485 W CARMEN ST Tempe AZ 85283,"Number of Residential Units: 1.0
Number of Buildings Involved: 1.0
Less Than One Acre: True
Area of Origin: Vehicle storage area; garage, carport
Heat Source: Undetermined
Item First Ignited: Electrical wire, cable insulation
Type of Material: Multiple types of material
Cause of Ignition: Cause undetermined after investigation
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to room of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 2.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1567.0
Fire Origin (starting story): 1.0
Item Contributing Most to Spread: Electrical wire, cable insulation
Type Material Contributing Most To Spread: Plastic
Detector Presence: None Present
AES Presence: None Present",2023-02-01,33.3594109,-111.9486624
1245 E LAGUNA DR Tempe AZ 85282,"Number of Residential Units: 1.0
Area of Origin: Bathroom, checkroom, lavatory, locker room
Heat Source: Undetermined
Item First Ignited: Undetermined
Confined To Origin: Fire Spread was Confined to Object of Origin
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Undetermined
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 1500.0
Fire Origin (starting story): 1.0
Detector Presence: None Present
AES Presence: None Present",2023-02-07,33.3902572,-111.9194455
200 E 5TH ST Tempe AZ 85281,"Not Residential Flag: True
Less Than One Acre: True
Area of Origin: Outside area, other
Heat Source: Undetermined
Item First Ignited: Undetermined
Confined To Origin: Fire Spread was Confined to Object of Origin
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Undetermined",2023-02-08,33.4259451,-111.9367275
30 W CARTER DR Tempe AZ 85282,"Area of Origin: Other
Heat Source: Hot or smoldering object, other
Item First Ignited: Light vegetation - not crop, including grass
Cause of Ignition: Intentional
Factors Contributing To Ignition #1: Other factor contributed to ignition
Human Factors #3: Unattended or unsupervised person",2023-02-11,33.3837369,-111.9414498
4629 S MILL AVE Tempe AZ 85282,"Number of Residential Units: 1.0
Area of Origin: Courtyard, patio, porch, terrace
Heat Source: Heat source: other
Item First Ignited: Item First Ignited, Other
Type of Material: Natural gas
Cause of Ignition: Unintentional
Factors Contributing To Ignition #1: Outside/open fire for warming or cooking
Human Factors #3: Unattended or unsupervised person",2023-02-12,33.3825999,-111.938829
7825 S HARDY DR Tempe AZ 85284,"Not Residential Flag: True
Number of Buildings Involved: 1.0
Less Than One Acre: True
On Site Materials #1: Machinery, tools, other
Material Storage Use #1: Processing or manufacturing
Area of Origin: Machinery room or area; elevator machinery room
Heat Source: Radiated, conducted heat from operating equipment
Item First Ignited: Box, carton, bag, basket, barrel
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Plastic
Cause of Ignition: Failure of equipment or heat source
Factors Contributing To Ignition #1: Cutting, welding too close to combustible
Equipment Involved: Power cutting tool
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 101567.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: More than 1 type present
Detector Power: Hardwire with battery
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: Present
AES Type: Wet pipe sprinkler
AES Operation: Operated and Effective
Number of Sprinklers Operating: 1.0",2023-02-13,33.3468014,-111.9486137
825 S HACIENDA DR Tempe AZ 85281,"Number of Residential Units: 8.0
Number of Buildings Involved: 1.0
Less Than One Acre: True
Area of Origin: Laundry area, wash house (laundry)
Heat Source: Undetermined
Item First Ignited: Dust, fiber, lint, including sawdust and excelsior
Confined To Origin: Fire Spread was Confined to Object of Origin
Type of Material: Fabric, fiber, cotton, blends, rayon, wool
Cause of Ignition: Cause undetermined after investigation
Human Factors #1: Asleep
Equipment Involved: Clothes dryer
Fire Spread: Confined to object of origin
Structure Type: Enclosed building
Structure Status: In normal use
Building Height: Stories Above Grade: 1.0
Building Height: Stories Below Grade: 0.0
Total Square Feet: 960.0
Fire Origin (starting story): 1.0
Detector Presence: Detectors Present
Detector Type: Smoke
Detector Power: Battery Only
Detector Operation: Operated
Detector Effectiveness: Alerted Occupants
AES Presence: None Present",2023-02-14,33.4212952,-111.9059098
